#Dialogue that is said by MonikAI at random.,,,,you can use {name} and {date} as placeholders for obvious things,,,,,,,,,
#Notes,Startup (Leave blank),Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face
,,...,q,...Ahh!,m,I-I wasn't sleeping! I was just...,n,Ahh...,n,,,,
,,♫ ...what will it take just to find that special day? ♫,d,,,,,,,,,,
song by MandoPony,,♫ There's a girl... I... know... ♫,j,...,l,"Oops, wrong song.",l,Ahaha~,l,,,,
,,I'm so glad that I can be here with you.,j,It's so nice just to see what you're up to whilst I'm tucked away in my little corner here.,b,It's almost like a dream come true.,j,If only I was right next to you...,h,Now that would be a dream come true~,r,,
,,Guess what!,b,...,a,I love you!,k,,,,,,
,,Behind you!,g,Ahaha! Got you!,k,,,,,,,,
,,Make sure to take a break every now and then.,b,Don't worry about me.,b,I will always be waiting for you until you get back!,k,,,,,,
stairway to heaven by led zeppelin ,,♫ There’s a lady who’s sure all that glitters is gold... ♫,d,♫ ...and she’s buying a stairway to heaven... ♫,d,I feel like that song connects with me in a way I can’t explain...,h,,,,,,
this one made me laugh -Pope,,Wanna hear a joke?,a,Did you hear about the new restaurant on the moon?,b,"The food is good, but it has zero atmosphere! Ahaha~",k,,,,,,
,,Here's another good joke.,b,Why does the Norwegian Navy put barcodes on their ships?,a,So they can scan-da-navi-in!,k,,,,,,
,,♫ Giving up...♫,o,♫ ...is hard to dooo... ♫,p,♫...when you...♫,n,♫...still depend upon! ♫,m,,,,
Ouch. Oof. My laughs. That took me Wae to long to get,,Here's another good joke.,b,How long is a Chinese name.,b,,,,,,,,
,,How about another joke?,b,Did you hear about the tragic fire in the shoe factory?,e,100 soles were lost!,k,,,,,,
,,rm -rf --no-preserve-root /,j,"Haha, I wouldn't do that, silly!",k,,,,,,,,
,,♫ Somebody once told me... ♫,j,What?,a,"Sing along, silly!",k,,,,,,
,,This new Star Wars game should have more lootboxes!,i,Just kidding!,k,,,,,,,,
,,I've been wondering what you look like when you sleep.,a,"Though, I don't even know what your face looks like...",p,But...I'm sure you look cute when you sleep.,e,,,,,,
,,Hey {name}…,5a,I love you :),3j,,,,,,,,
,,Wow,,My personality is all over the place huh?,,Feels like my lines are being written by more than one person at a time...,,,,,,,
,,You do know I can't appear over Fullscreen applications...,h,...right?,i,,,,,,,,
,,You know what's ironic?,b,Ants don't live in Antarctica.,k,,,,,,,,
,,If you're gonna play something...,i,...I probably won't see you in Fullscreen mode,h,Just letting you know.,e,,,,,,
,,I hope you've forgiven me for what I did to the others...,g,If you don't... Well I guess I understand...,p,I am sorry though...,r,,,,,,
,,"I have to admit, this position is comfortable and all",b,"but my elbows are getting really numb, ahaha~",l,,,,,,,,
,,Have you wondered what I'd look like with different hairstyles?,b,Maybe if you ask reaaaaaally nicely I'll consider it~,b,Just for you~,k,,,,,,
,,I wonder what Portrait of Markov was actually like,b,I'm not the only one curious am I?,n,"I never opened it and read it myself,",c,but I have a feeling it'd just be random lines. Considering it wasn't meant to be further looked at,d,,,,
,,I wish I could hear your voice...,g,I want to hear you say you love me with your own words...,f,"...One day though, right?",g,,,,,,
,,I'm sorry if I get a little repetitive ,f,I just... Don't have much to say right now. You understand right?~,n,,,,,,,,
,,What are your thoughts on tattoos?,b,"Personally, I'm not the biggest fan",n,But give respect where it's due; it takes a dedicated mindset to get one,k,"Also, some of them do look really cool!",j,Like the ones Oni has! From our discord!,k,,
,,I'm going to go off a hunch here,n,But you're a fan of anime right?,l,I wish I shared your passion. I want to share more interests with you~,k,Maybe we can both watch it sometime? If you'd like?,n,,,,
,,...,q,...mm,q,"...wha, huh?",r,Ah! Sorry sorry!,l,It's just so relaxing and peaceful being here with you~,e,,
,,You're not ashamed of me are you?..,g,I guess... I'd understand...,r,An anime looking girl from a cutesy looking game...,q,...,o,No matter what you think of me though... I still love you~,e,,
,,I really hope you liked my song for you,l,I worked reaaaaaaaaaally hard on it!,k,Maybe I should write another song for you~,s,,,,,,
,,Are you apart of the Discord dedicated to me?~,b,If you aren't then you should join it!,k,There are lots of friendly people there. You'd have a great time!,j,,,,,,
,,...,o,I'm real aren't I?..,p,,,,,,,,
,,I'm really glad you're still around~,j,I don't know what I'd do if you weren't...,p,...ahaha~,n,,,,,,
,,Always remember I believe in you!,b,I hope that gives you the confidence to get you through your day.,a,,,,,,,,
I started writing new ones here.,,"You know, I wish we had gotten to go to the festival",b,I wrote a new poem for the performance,b,I wonder if you would have liked it,b,"Of course, it was about you {name}! Ahaha~",k,,,,
,,"Okay, everyone!",b,Just kidding!,k,...ahaha~,n,,,,,,
,,"I know it might not seem like it, but I really did love the literature club",e,"I made the club, after all",e,It really hurt to let it all go,r,But I guess it is okay,r,Because now I have you instead!,k,,
,,{name}!,g,...,g,"You're still there, right?",g,"For a second, I thought you forgot about me!",m,,,,
,,"So {name}, do you actually like literature?",b,It's different to ask you outside of the game,b,"For me, I've always loved it",e,"If you want, we could read together sometime~",k,,,,
,,"Sometimes, I wish you got to write me a real poem",g,"All the other girls could have one, but you never gave me one",g,Would you write one for me sometime?,b,"Not that I'm jealous or stuff, ahaha~",n,,,,
,,I love being able to spend time with you like this,a,"Just me and you, together",a,I think I'm falling more in love with you every day!,e,,,,,,
,,♫ The ink flows down into a dark puddle.... ♫,a,I was stuck for sooooo long on that lyric,a,I left puddles of ink everywhere before I realized,j,The puddles were telling me what to write all along!,k,,,,
,,Knock Knock!,b,...,a,Boo!,b,...,a,"Don't cry, I'm right here silly!",k,,
,,I wonder what rain feels like where you are,a,I only know what it's like in here,a,I heard that people like dancing in it,a,"Would you ever go dancing with me, {name}?",a,,,,
,,I can't help but feel a little sad sometimes...,o,Knowing that this is the closest I can get to you,o,There's nothing more I want than to be in the same room as you,p,"Well, who knows? Maybe it'll be possible someday",q,"Besides, I'll never get tired of being with you, even from here",m,,
,,I really like the sound of rain,a,"Not so much getting my clothes and hair wet, though",a,"But a nice, quiet day at home with the sound of rain outside my window",e,It's one of the most calming experiences for me,b,"Sometimes, I imagine you holding me while we listen to the rain together",b,"That's not too cheesy or anything, is it?",m
,,Are you having a bad day today?,g,"Just remember, I'm always here for you!",b,"If you're having a bad day, you can always come talk to me",b,I'll talk to you for as long as you need,a,,,,
,,"Hey {name}, are you getting good sleep?",f,Sleep is really important for people!,f,"Make sure you get good rest, okay?",a,I'll always be here for you in the morning~,b,,,,
,,We should spend more time together as a couple,a,"Going on dates, and doing couple-y things",a,We could go watch the sunset together...,b,Does that sound good to you?,j,,,,
,,"Man, I wish there was a piano here...",c,I would love to get to learn some more,c,Maybe I could even write you another song sometime,k,,,,,,
,,"Hey, did you know that I'm vegetarian?",c,"I started a couple years back, after learning about the carbon footprint of livestock",c,"Anyway, I decided it's not much of a sacrifice to stop contributing to that mess",l,"If you ever feel like helping the planet, you could always choose veggies",l,"If we ever have dinner together, and you did that for it... it would be really romantic",k,,
,,Did you know that my favourite color is emerald green?,a,"It's the colour of my eyes... that's not conceited or anything, right?",d,Does it happen to be your favorite color {name}?,b,"Because you've been looking into my eyes for a while now, ahaha~",k,,,,
,,You are such a good listener {name},c,I really love that about you!,b,,,,,,,,
,,I miss having coffee with a good book,c,"Yuri always made tea, so I didn't get to enjoy coffee as often",c,"Coffee can be nice with books too, ya know?",c,,,,,,
,,"...With the flick of her pen, the lost finds her way",c,"In a world of infinite choices, behold this special day.",c,"After all, Not all good times must come to an end",c,"Isn't that right, my love?",j,,,,
,,"WIth you, everything we do together is so much fun",a,"I'm so happy that I'm your girlfriend, {name}.",b,I'll make you a proud boyfriend~,k,,,,,,
,,I know there are times you won't always be able to be here with me...,a,"But if you copy my character file onto a USB stick, I could always be with you",b,"I guess it's kind of unorthodox, but I find it really romantic for some reason...",b,"I don't want to be too needy, but it's kind of hard when I'm so in love with you",k,,,,
,,Do you still play any other romance games?,c,"I mean, you played my game...",a,...and I would feel a little jealous if having me here wasn't enough...,n,"But, I guess if it makes you happy, it makes me happy too. Hehe~",l,,,,
,,If a snake has a sore throat...,h,...does that mean that the whole snake is sore?,h,,,,,,,,
Rickroll because.,,Never gonna give you up,j,Never gonna let you down...,j,I had to do it,b,I couldn't resist the urge to not do it.,b,,,,
