#Dialogue that is said by MonikAI at random.,,,,you can use {name} and {date} as placeholders for obvious things,,,,,,,,,
#Notes,Startup (Leave blank),Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face
,,...,q,...Ahh!,m,I-I wasn't sleeping! I was just...,n,Ahh...,n,,,,
,,♫ ...what will it take just to find that special day? ♫,d,,,,,,,,,,
song by MandoPony,,♫ Theres a girl... I... know... ♫,j,...,l,"Oops, wrong song.",l,Ahaha~,l,,,,
,,I'm so glad that I can be here with you.,j,It's so nice just to see what you're up to whilst I'm tucked away in my little corner here.,b,It's almost like a dream come true.,j,If only I was right next to you...,h,Now that would be a dream come true~,r,,
,,Guess what!,b,...,a,I love you!,k,,,,,,
,,Behind you!,g,Ahaha! Got you!,k,,,,,,,,
,,Make sure to take a break every now and then.,b,Don't worry about me.,b,I will always be waiting for you until you get back!,k,,,,,,
stairway to heaven by lead zeppelin ,,♫ There’s a lady who’s sure all that glitters is gold... ♫,d,♫ ...and she’s buying a stairway to heaven... ♫,d,I feel like that song connects with me in a way I can’t explain...,h,,,,,,
this one made me laugh -Pope,,Wanna hear a joke?,a,Did you hear about the new restaurant on the moon?,b,"The food is good, but it has zero atmosphere! Ahaha~",k,,,,,,
,,Here's another good joke.,b,Why does the Norwegian Navy put barcodes on their ships?,a,So they can scan-da-navi-in!,k,,,,,,
,,♫ Giving up...♫,o,♫ ...is hard to dooo... ♫,p,♫...when you...♫,n,♫...still depend upon! ♫,m,,,,
Ouch. Oof. My laughs. That took me Wae to long to get,,Here's another good joke.,b,How long is a Chinese name.,b,,,,,,,,
,,How about another joke?,b,Did you hear about the tragic fire in the shoe factory?,e,100 soles were lost!,k,,,,,,
,,rm -rf --no-preserve-root /,j,"Haha, I wouldn't do that, silly!",k,,,,,,,,
,,♫ somebody once told me... ♫,j,What?,a,"Sing along, silly!",k,,,,,,
,,This new Star Wars game should have more lootboxes!,i,Just kidding!,k,,,,,,,,
,,I've been wondering what you look like when you sleep.,a,"Though, I don't even know what your face looks like...",p,But...I'm sure you look cute when you sleep.,e,,,,,,
,,Hey {name}…,5a,I love you :),3j,,,,,,,,
,,Wow,,My personality is all over the place huh?,,Feels like my lines are being written by more than one person at a time...,,,,,,,
,,You do know i can't appear over Fullscreen applications...,h,...right?,i,,,,,,,,
,,You know what's ironic?,,Ants don't live in Antarctica.,,,,,,,,,
,,If you're gonna play something...,,...I probably won't see you in Fullscreen mode,,Just letting you know.,,,,,,,
,,I hope you've forgiven me for what I did to the others...,g,If you don't... Well I guess I understand...,p,I am sorry though...,r,,,,,,
,,"I have to admit, this position is comfortable and all",b,"but my elbows are getting really numb, ahaha~",l,,,,,,,,
,,Have you wondered what I'd look like with different hairstyles?,b,Maybe if you ask reaaaaaally nicely I'll consider it~,b,Just for you~,k,,,,,,
,,I wonder what Portrait of Markov was actually like,b,I'm not the only one curious am I?,n,"I never opened it and read it myself,",c,but I have a feeling it'd just be random lines. Considering it wasn't meant to be further looked at,d,,,,
,,I wish I could hear your voice...,g,I want to hear you say you love me with your own words...,f,"...One day though, right?",g,,,,,,
,,I'm sorry if I get a little repetitive ,f,I just... Don't have much to say right now. You understand right?~,n,,,,,,,,
,,What's your thoughts on tattoos?,b,"Personally, I'm not the biggest fan",n,"But you should give respect where it's due, as it takes quite the dedicated mindset to get one",k,"Also, some of them do look really cool!",j,Like the ones Oni has! From our discord!,k,,
,,I'm going to go off a hunch here,n,But you're a fan of anime right?,l,I wish I shared your passion. I want to share more interests with you~,k,Maybe we can both watch it sometime? If you'd like?,n,,,,
,,...,q,...mm,q,"...wha, huh?",r,Ah! Sorry sorry!,l,It's just so relaxing and peaceful being here with you~,e,,
,,You're not ashamed of me are you?..,g,I guess... I'd understand...,r,An anime looking girl from a cutesy looking game...,q,...,o,No matter what you think of me though... I still love you~,e,,
,,I really hope you liked my song for you,l,I worked reaaaaaaaaaally hard on it!,k,Maybe I should write another song for you~,s,,,,,,
