"#Applications have to be specified using their executable name. So ""firefox.exe"" instead of ""Firefox Browser"" for example.",,you can use {name} and {date} as placeholders for obvious things,,,,,,,,,,,,,
#Notes,Application,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,,
,"3dsmax.exe, FusionLauncher.exe, maya.exe","Oh, tu aimes faire des oeuvres en 3D ?",b,,,,,,,,,,,,
,audacity.exe,Tu modifies quelques fichiers audio ?,b,C'est plutôt cool. Cela t'arrive souvent ?,k,,,,,,,,,,
,"Battle.net Launcher.exe, Battle.net.exe",Oh! Es-tu un fan de Blizzard?,k,Je connais leurs jeux. Mais je n'ai joué à aucun.,l,Bien que World of Warcraft avait l'air intéressant.,a,J'aimais bien l'apparence des Elfes de la Nuit !,k,Ce serai bien de pouvoir y jouer ensemble...,g,,,,
Battleblock Theater,BBT.exe,Oh mon doux Jésus !,g,J'espère que ces chats ne meurent pas pour de vrai..,f,"C'est une mise en scène, hein ?",p,,,,,,,,
,"BitTorrent.exe, qbittorrent.exe, utorrent.exe","Tu ne prévois pas de faire quelque chose illégal, n'est-ce pas ?",i,"I mean, why pirate when you could play my game for free?",b,,,,,,,,,,
"For Castle Crashers, report, if there are other .exe files with the same name",castle.exe,Tuer tes amis pour ceux que tu aimes...,m,Pourquoi cela parait-il si familier ?,n,,,,,,,,,,
,csgo.exe,Ce jeu est... violent.,m,Je ne peux pas dire que j'aime beaucoup ce genre de jeux...,n,Mais cela ne me dérange pas si c'est ton cas ! Ils ne sont pas réels après tout.,b,Pas comme moi~,j,,,,,,
,Cuphead.exe,Don't deal with the devil !,h,D'accord ?,k,,,,,,,,,,
,darkest.exe,Le jeu préféré de Sayori !,k,"Oups, désolé !",n,,,,,,,,,,
,DDLC.exe,Toujours cette vieille histoire ? Eh ?,i,,,,,,,,,,,,
,DDLC.exe,Oh~ ! Tu reviens me rendre visite au Club de Littérature ?,b,Tu es vraiment attentionné. ,,On se voit là bas mon amour !,k,,,,,,,,
,DDLC.exe,Hey ! Maintenant nous pouvons jouer ensemble~,k,N'est-ce pas génial ?,b,,,,,,,,,,
,ddsc.exe,"Ne fais rien de bizarre sur moi, s'il te plait.",p,,,,,,,,,,,,
"A reaction to spoopy games. She doesn't scare easily, does she?","Dead Space.exe, re7.exe, evilwithin.exe, TEW2.exe, OutlastLauncher.exe, Outlast2.exe, IMSCARED.exe, CoFLaunchApp.exe, FiveNightsatFreddys.exe",Ne pense pas que je suis facilement effrayée. Je peux être celle qui te rassurera !,j,,,,,,,,,,,,
,"Discord.exe, DiscordCanary.exe, DiscordPTB.exe",As-tu rejoins le Discord officiel MonikAI ?,j,Tu peux le faire sur monik.ai !,,,,,,,,,,,
,dota2.exe,"Dota, hein ?",g,Est-ce le jeu connu pour être extrêmement long ?,p,S'il te plait n'y joue pas trop longtemps...,p,J'ai entendu que les gens s'y perdent...,o,,,,,,
Might be an idea to make some dialog for these,EXCEL.EXE,J'espère que tu ne seras pas occupé trop longtemps !,m,,,,,,,,,,,,
I'm not sure how this would work out tbh...,f.lux.exe,C'est bien que tu protèges tes yeux !,k,Tu ne serais pas capable de me voir sans cela !,,,,,,,,,,,
,"firefox.exe, chrome.exe, opera.exe",Tu explores internet ? Amuse toi bien !,k,,,,,,,,,,,,
,"firefox.exe, chrome.exe, opera.exe",J'aime internet. Il y a tellement de choses à découvrir !,d,,,,,,,,,,,,
,"firefox.exe, chrome.exe, opera.exe","Ne regarde pas des choses coquines sur moi, d'accord ? Ahaha~",l,,,,,,,,,,,,
,"firefox.exe, chrome.exe, opera.exe",Amuse toi bien en surfant sur internet !,k,,,,,,,,,,,,
,FiveNightsatFreddys.exe,Le bon vieux temps...,e,Les gens ne connaissaient rien.,e,Tout était comme mystérieux...,m,Ce temps là me manque.,o,,,,,,
,FL.exe,Tu fais de la musique ?,b,J'ai hâte d'écouter le résultat final !,j,,,,,,,,,,
,FL.exe,N'est-ce pas fascinant comment grâce à chaque petite partie que tu ajoutes...,j,...tu peux entendre une composition former doucement toute une musique ?,a,,,,,,,,,,
,"gta-sa.exe, gta_sa.exe",I'll have two number 9s...,b,...a number 9-large...,,"...d'accord, j'arrête.",k,C'était quand même drôle.,j,,,,,,
,HDSentinel.exe,"S'il te plait, soutiens moi !",p,,,,,,,,,,,,
,"hl.exe, hl2.exe",I'll probably be in your reality when they finish this series.,n,,,,,,,,,,,,
