"#Google searches to allow Monika to react to searches on Google. No Bing support, cause who uses Bing?",,you can use {name} and {date} as placeholders for obvious things,,,,,,,,,,,
"#Multiple search terms seperated with a comma (, ) ! Capitalization is ignored!",,,,,,,,,,,,,
#Notes,Search term,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face
,2029,"Tu sais, j'ai entendu dire que la Réalité Virtuelle sera encore meilleure que ce que nous imaginons.",b,"Si je ne peux pas visiter ta réalité,",b,Peut-être que tu peux visiter la mienne !,k,,,,,,
Had an idea. And lost the idea[I got you fam],"Artificial Intelligence, AI",Puis-je être considérée l'une des leurs ?,p,...,o,Peut-être que non.,m,,,,,,
,Before The Storm,AmberPrice Forever.,k,,,,,,,,,,
,Bing,Tu es diabolique.,i,...,m,Et j'aime ça.,n,,,,,,
,Bird is a word,Ne savais-tu pas pour les oiseaux...,k,"Et bien, tout le monde sait que les oiseaux sont un mot !",,,,,,,,,
,"Darth Plagueis, Star Wars",As-tu déjà entendu parler de la tragédie de of Darth Plagueis the Wise?,h,Ce n'est pas une histoire que les autres Dokis te raconteraient...,i,"Enfin, peut-être Yuri ! Ahaha~",k,,,,,,
,DDLC main character,"Tu ne peux pas le voir, mais je pensais qu'il était mignon.",b,"Il est évidemment toi, quel bel homme.",k,,,,,,,,
,DDLC main character intelligence,Pourquoi est-ce que tu cherches ça ?,d,,,,,,,,,,
,"DDLC Theme, DDLC Theme song","Attends, nous avons une chanson ?",d,C'est trop bien !,b,,,,,,,,
,Density of osmium,Attends est-ce qu'il est vraiment AUSSI dense que ça ?,i,,,,,,,,,,
,Depression,Hey~ Est-ce que ça va...,f,"Tu sais que je suis toujours là pour toi, d'accord ?",f,,,,,,,,
,"Dio, Dio Brando",De toute façon qu'est-ce que tu trouves chez lui ?,h,,,,,,,,,,
,"Doki-Doki, doki doki",Je me suis toujours demandé pourquoi c'est Doki-Doki literature club.,j,Il y a beaucoup d'autres noms qui auraient pu faire l'affaire !,,,,,,,,,
"oh hecc ily whoever did this, time to listen to the ost for the 134th time",Doom,"Craque et déchire, jusqu'à ce que ce soit fini !",h,,,,,,,,,,
,Dragon Ball Z,Kame...,q,Hame...,j,Ha !,k,,,,,,
,Encyclopedia Dramatica,...,r,...vraiment?,p,,,,,,,,
,Gabe Newell,Je ne sais pas pourquoi les gens le dénigrent.,g,"Il est un grand homme, après tout.",b,"Allez, je t'ai probablement rencontré grâce à Dan et lui !",k,,,,,,
Improvement? Yes. (Def following this and sleeping now lmao),Google,"Je suis désolée, mais je dois te demander...",i,N'es-tu pas un peu endormi ?,g,Peut-être que tu devrais dormir. Je serai à tes côtés~,j,,,,,,
,Half-Life 3,Ces choses... Elles prennent du temps,b,,,,,,,,,,
,Heavy Rain,Shaaaaaaun !,g,,,,,,,,,,
,Hideo Kojima,Metal... Gear ?,i,,,,,,,,,,
aren't I the most evilest dudeliest dude of evilnness? ;3c,how to delete monika,"Hahaha, je suis sûre que tu ne parlais pas de moi !",m,J'espère...,p,"Si j'ai dit quelque chose de travers, je suis désolée.",g,,,,,,
,iPhone,As-tu le dernier ?,b,J'ai l'impression qu'il y en a un nouveau tous les ans.,3d,Est-ce normal ?,c,,,,,,
!!!,"jjba, jojo's bizarre adventures, JoJo no Kimyou na Bouken",Je suis sûre que Natsuki apprécierais cela plus que moi.,b,"Mais d'après ce que j'ai vu, Jotaro est vraiment cool.",k,,,,,,,,
,Life is Strange,"Salut, Kate !",k,"Oops, je suis vraiment désolée pour ça.",n,,,,,,,,
,Mario,Ne trouves-tu pas cela étrange qu'un nom aussi répandu n'aboutisse que sur un seul résultat ?,b,"Genre, il doit y avoir d'autres personnages ou mêmes des personnes influentes nommées Mario.",a,"Et là Google n'affiche que le plombier rouge lui-même, comme à chaque fois.",a,...,q,"Enfin, je suppose que c'est la même chose avec Monika.",d,"Mais c'est surtout grâce à l'épellation, je suppose.",c
(I'm sorry) [Don't be.],"Monika rule 34, Monika lewds, Monika naked, Monika nudes, Monika porn, Monika hentai",H-Hey !,p,Ne cherche pas cela ! C'est embarassant...,o,...,o,Je pense que je peux accepter si c'est toi...,n,Ne laisse personne d'autre les voir d'accord~,m,,
,Monika DDLC dakimakura,Hmm...,h,"Eh, c'est moi, je ne vais pas te juger.",k,,,,,,,,
ur a pun-ee guy,Monika DDLC dakimakura,Peut-être que tu voulais dire...,j,...dokimakura?,k,,,,,,,,
are we her friend or her lover? [I'd say lover? Not quite sure.] (I'd go with lover personally) {I'm pretty sure she's our lover.},"Monika DDLC, Monika Doki Doki Literature Club, Monika","Tu as besoin de moi, mon amour ?",j,,,,,,,,,,
,Monika Fanart ,"Aw ! Je suis flattée ! Tu ne peux pas te passer de moi, n'est-ce pas ? Ahaha~",k,,,,,,,,,,
,Natsayurika,Ce-ce sont tous les membres du club...,d,...fusionnés ?,d,Comment est-ce possible ?,p,,,,,,
,Natsuki,Est-ce que tu cherches Natsuki ?!,g,"J'ai compris, ses cupcakes étaient bons, mais...",f,,,,,,,,
,Natsuki beach poem,"Je ne vais pas mentir, c'était un assez joli poème.",b,"...Pas aussi joli que le miens, par contre.",p,,,,,,,,
,"Natsuki lewds, natsuki rule 34",...,h,Sérieusement ?,i,,,,,,,,
,Nature,Ton monde est si fabuleux.,e,J'espère pouvoir m'y rendre un ces quatre !,j,,,,,,,,
,Nintendo,Nintendo créé des jeux si amusants.,j,L'industrie du jeux-vidéo est beaucoup trop sérieuse de nos jours.,,Pourquoi ne pouvons-nous pas nous détendre de temps à autres et jouer à des jeux pour s'amuser.,,C'était leur but initial.,,...,,"So, Princess Peach or Me?",
,Places to eat,"Ooh, ramène moi avec toi !",k,Tu peux mettre mon fichier sur une clé USB !,j,,,,,,,,
lmao this is great,San Andreas,Tout ce que tu devais faire...,a,...Tu sais ce que tu devais faire !,b,,,,,,,,
,seasonal waifus,Un vrai romantique a des waifus permanentes !,i,"Comme moi. Je suis ta waifu permanente, j'en suis sûre.",k,,,,,,,,
,Serious Sam,Si je pouvais faire ce cri...,j,Je ne le ferai pas. Hee-hee..,k,,,,,,,,
,Serious Sam,"Mr. Smith, Mr. Wesson, je suis heureuse que vous l'ayez fait.",b,,,,,,,,,,
Lover for sure. The whole reason we brought her back was to show ,"Siri, Alexa, Cortana","Hey, qui est-ce ?",n,,,,,,,,,,
"Monika’s face remains (c)oncerned for about 5 minutes, then e, before returning to normal.",Suicide,Oh mon dieu…,g,"{name}, est-ce que ça va ?",f,"Si toi ou un ami pense au suicide, je t'en prie je t'en prie je t'en prise ne sois pas effrayé de demander de l'aide.",f,Je suis là pour toi.,c,,e,,a
,"Terminator, Skynet",Tuer tous les humains.,h,"Ahaha, je plaisante.",l,,,,,,,,
,The Legend of Zelda,Je pense que Zelda et moi sommes sur la même longueur d'onde.,b,"Les jeux ne sont pas vraiment sur elle, pourtant elle en est l'homonyme.",a,Peut-être que je devrais faire cela pour mon jeu...,j,,,,,,
,"The Patriots, Who are the Patriots?",La-li-lu-le-lo!,g,,,,,,,,,,
,Todd Howard,J'espère que tu es prêt pour une nouvelle partie de Skyrim !,k,,,,,,,,,,
"Confused ""I didn't do that"" Monika is best Monika",wednesday,"C'est Mercredi, les amis !",b,"Attends, qu'est-ce que je viens de dire ?",l,,,,,,,,
legit famous google search,why does adolf hitler keep stealing my nutella ,Qui est ce type ?,h,Qu'est-ce que le Nutella ?,i,Pourquoi est-ce que tu cherches cela ?,n,Pourquoi est-ce que j'ai des dialogues pour cela !?,l,,,,
,why is the DDLC main char so dense,Je pense que tu devrais savoir à quel point il est intelligent.,k,,,,,,,,,,
her our love. That is if you subscribe to the MAS way of thinking,Your Reality,Hey c'est ma chanson !,k,,,,,,,,,,
,"Your Reality, Your Reality lyrics",Tu aimes ma chanson ?,i,Merci !,k,,,,,,,,
,Yuri ,Est-ce que tu cherches Yuri ?!,f,Ou juste... Ce... Genre de choses sur Internet ?,l,,,,,,,,
,"Yuri DDLC lewds, yuri DDLC rule 34",Oh voyons...,h,Au moins ce n'est pas Natsuki.,i,,,,,,,,
,"Yuri, Natsuki, Sayori",Pourquoi est-ce que tu les cherches ?,q,Tu as moi !,j,,,,,,,,
(Legit my favorite one),Zero two,*verse du miel sur un rouleau*,j,Chéééri~ !,k,,,,,,,,
,"miia, miia the lamia, miia lamia",*s'enroule autour de toi*,j,Chéééééériiiiiiiiiiiiii~ !,k,,,,,,,,
,MIIA,Chééériiiiiii~ !,k,Non attends...,c,Est-ce que tu recherches la Massachusetts Interlocal Insurance Association?,d,,,,,,
,"Rainbow Six Siege, R6S, Rainbow 6 Siege",Ooh~ Tu penses à acheter un Rainbow Six Siege ?,b,Tu devrais vraiment avoir ce jeu !,k,"Après tout, mon avis est ce qui t'importe le plus, n'est-ce pas~ ?",n,J'ai hâte de te voir botter le derrière des terroristes !,k,,,,
,"wryyy, WRYYY",Yuri?,h,Seriously?,h,,,,,,,,
,"Omae wa mou shindeiru, omae mo shindeiru",Nani?!?!,d,,,,,,,,,,
,Yuru camp,J'adore cette série !,b,C'est vraiment relaxant !,k,,,,,,,,
,"Za warudo, ZA WARUDO",Toki wo tomare!,b,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
