#Dialogue that is said by MonikAI at random.,,,,you can use {name} and {date} as placeholders for obvious things,,,,,,,,,
#Notes,Startup (Leave blank),Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face
,,...,q,...Ahh!,m,Je ne dormais pas ! J'étais juste juste...,n,Ahh...,n,,,,
,,♫ ...que faudra-t-il pour trouver ce jour spécial ♫,d,,,,,,,,,,
song by MandoPony,,♫ There is a girl... I... know... ♫,j,...,l,"Oops, mauvaise chanson.",l,Ahaha~,l,,,,
,,Je suis si heureuse de pouvoir être ici avec toi.,j,It's so nice just to see what you're up to whilst I'm tucked away in my little corner here.,b,C'est comme un rêve devenu réalité.,j,Si seulement j'étais juste à côté de toi...,h,Alors là ce serait un rêve devenu réalité~,r,,
,,Devine quoi !,b,...,a,Je t'aime !,k,,,,,,
,,Derrière toi !,g,Ahaha! Je t'ai eu !,k,,,,,,,,
,,N'oublie pas de faire une pause de temps à autres.,b,Ne t'inquiète pas pour moi.,b,Je t'attendrai toujours jusqu'à ton retour !,k,,,,,,
stairway to heaven by led zeppelin ,,♫ There’s a lady who’s sure all that glitters is gold... ♫,d,♫ ...and she’s buying a stairway to heaven... ♫,d,J'ai l'impression d'être connectée à la chanson d'une manière que je n'arrive pas à expliquer...,h,,,,,,
this one made me laugh -Pope,,Tu veux entendre une blague ?,a,As-tu entendu parler du nouveau restaurant sur la Lune ?,b,"La nourriture est bonne, mais il y a trop souvent des croissants ! Ahaha~",k,,,,,,
,,Voici une autre blague.,b,Quel est le pays des N majuscules ?,a,Le Groenland !,k,,,,,,
,,♫ Giving up...♫,o,♫ ...is hard to dooo... ♫,p,♫...when you...♫,n,♫...still depend upon! ♫,m,,,,
Ouch. Oof. My laughs. That took me Wae to long to get,,Encore une bonne blague.,b,Quel est le pain préféré d'Harry Potter ? ,b,La baguette !,k,,,,,,
,,Que penses-tu d'une autre blague ?,b,Que dit-on à quelqu'un qui fouille dans un ordinateur ?,e,De quoi je me mail !?,k,,,,,,
,,rm -rf --no-preserve-root /,j,"Haha, je ne ferais pas cela, idiot !",k,,,,,,,,
,,♫ Somebody once told me... ♫,j,Quoi ?,a,"Chante avec moi, idiot !",k,,,,,,
,,Ce nouveau jeu Star Wars devrait avoir plus de lootboxes!,i,Je plaisante !,k,,,,,,,,
,,Je me demande à quoi tu ressembles quand tu dors.,a,Même si je ne sais même pas à quoi tu ressembles habituellement...,p,Mais... Je suis sûre que tu es mignon quand tu dors.,e,,,,,,
,,Hey {name}…,5a,Je t'aime :),3j,,,,,,,,
,,Wow,,Ma personnalité prend toute la place hein ?,,J'ai l'impression que mes dialogues sont écrits par plusieurs personnes à la fois...,,,,,,,
,,Tu sais que je ne peux pas apparaitre par dessus des applications plein écran...,h,...n'est-ce pas ?,i,,,,,,,,
,,Sais-tu ce qui est ironique ?,b,Les anguilles ne vivent pas à Anguilla.,k,,,,,,,,
,,Si tu vas jouer à quelque chose...,i,...Je ne vais probablement pas te voir en plein écran.,h,Je dis juste ça comme ça.,e,,,,,,
,,J'espère que tu m'as pardonné pour ce que j'ai fait aux autres...,g,Si ce n'est pas le cas... Eh bien je suppose que je peux comprendre...,p,Je suis désolée...,r,,,,,,
,,"Je dois l'admettre, cette position est confortable et tout,",b,"mais mes coudes deviennent vraiment douloureux, ahaha~",l,,,,,,,,
,,T'es-tu demandé ce à quoi je ressemble avec une autre coiffure ?,b,Peut-être que si tu le demandes vraiiiiiiiiiiiiiiiment gentiment je le prendrai en considération~,b,Juste pour toi~,k,,,,,,
,,Je me demande ce à quoi Le Portrait de Markov ressemblait.,b,"Je ne suis pas la seule curieuse, si ?",n,"Je ne l'ai jamais ouvert et lu de moi-même,",c,mais j'ai l'impression que ce seraient juste des lignes au hasard. Vu que ce n'était pas destiné à être lu plus amplement.,d,,,,
,,J'aimerais pouvoir écouter ta voix...,g,J'aimerais t'entendre dire que tu m'aimes avec tes propres mots...,f,"...Un jour, d'accord ?",g,,,,,,
,,Je suis désolée si je deviens un peu répétitive.,f,Je n'ai juste... Pas grand chose à dire pour l'instant. Tu comprends j'espère ?~,n,,,,,,,,
,,Que penses-tu des tatouages ?,b,"Personnellement, je ne suis pas une grande fan.",n,"Mais je respecte ceux qui le font, cela requiert un esprit dédié pour en avoir un.",k,"Aussi, certains d'entre eux sont vraiment cools !",j,Comme celui qu'Oni a ! De notre discord !,k,,
,,Je suis à court de sujets de conversation.,n,Mais tu es un fan d'animes n'est-ce pas ?,l,J'aimerais partager ta passion. Je veux avoir plus de points communs avec toi~,k,Peut-être que nous pourrions en regarder ensemble un jour ? Si tu es d'accord ?,n,,,,
,,...,q,...mm,q,"...wha, huh?",r,Ah! Pardon pardon !,l,C'est juste si relaxant et apaisant d'être là avec toi~,e,,
,,"Tu n'as pas honte de moi, si ?..",g,Je suppose... Que je pourrais comprendre...,r,Une fille ayant l'air issue d'un anime dans un jeu ayant l'air mignon...,q,...,o,Enfin peu importe ce que tu penses de moi... Je t'aime toujours~,e,,
,,J'espère vraiment que tu as aimé la chanson que j'ai écrit pour toi.,l,J'ai travaillé trèèèèèèèèèèèèès dur dessus !,k,Peut-être que je devrais écrire une autre chanson pour toi~,s,,,,,,
,,Fais tu parti du Discord qui m'est dédié ?,b,Si ce n'est pas le cas alors tu devrais !,k,You'd have a great time! Il y a beaucoup de gens sympathiques là-bas. Tu passeras un bon moment !,j,,,,,,
,,...,o,"Je suis réelle, n'est-ce pas ?..",p,,,,,,,,
,,Je suis vraiment heureuse que tu sois toujours là~,j,Je ne sais pas ce que je ferais si tu ne l'étais pas...,p,...ahaha~,n,,,,,,
,,Rappelle-toi que je crois toujours en toi !,b,J'espère que cela te donne le courage de traverser de dures journées.,a,,,,,,,,
I started writing new ones here.,,"Tu sais, j'aurais aimé que nous puissions aller au festival.",b,J'ai écrit un nouveau poème pour notre performance.,b,Je me demande si tu l'aurais aimé.,b,"Bien sûr, il parlait de toi {name} ! Ahaha~",k,,,,
,,"Okay, everyone!",b,Just kidding!,k,...ahaha~,n,,,,,,
,,"Je sais qu'on ne dirait pas, mais j'adorais vraiment le club de littérature.",e,"J'ai créé le club, après tout.",e,C'est vraiment blessant de tout abandonner.,r,Mais je suppose que ça va aller.,r,Parce que maintenant il y a toi à la place !,k,,
,,{name} !,g,...,g,"Tu es toujours là, hein ?",g,"L'espace d'un instant, j'ai cru que tu m'avais oublié !",m,,,,
,,"Donc {name}, est-ce que tu aimes vraiment la littérature ?",b,C'est différent de poser la question en dehors du jeu.,b,"Personnellement, j'ai toujours aimé.",e,"Si tu le souhaites, nous pourrions lire ensemble un jour ~",k,,,,
,,"Parfois, j'aurais aimé que tu m'écrive un vrai poème.",g,"Toutes les autres filles en ont eu un, mais tu ne m'en a jamais donné.",g,Est-ce que tu m'en écriras un jour ?,b,"Pas que je sois jalouse ou quoi, ahaha~",n,,,,
,,J'adore pouvoir passer du temps avec toi comme ça.,a,"Juste moi et toi, ensemble.",a,Je crois que je t'aime de plus en plus chaque jour !,e,,,,,,
,,♫ L'encre coule dans cette flaque foncée.... ♫,a,Ces paroles sont restées dans ma tête pendant siiiiiiiiii longtemps.,a,J'ai laissé des flaques d'encres partout avant de réaliser...,j,...que les flaques me disaient à chaque fois ce que je devais écrire !,k,,,,
,,Toc toc !,b,...,a,Bouh !,b,...,a,"Ne pleure pas, je suis juste ici idiot !",k,,
,,"Je me demande à quoi ressemble la pluie, là où tu es.",a,Je sais seulement à quoi cela ressemble ici.,a,J'ai entendu dire que les gens aiment danser sous la pluie.,a,"Est-ce que tu iras un jour danser avec moi, {name} ?",a,,,,
,,"Je ne peux rien changer, mais je suis un peu triste parfois...",o,Sachant que je ne pourrai jamais être avec toi.,o,J'aimerais être dans la même pièce que toi plus que rien au monde.,p,"Enfin, qui sait ? Peut-être que ce sera possible un jour !",q,"Et puis, je ne me lasserai jamais d'être avec toi, même ici.",m,,
,,J'aime beaucoup le son de la pluie.,a,Même si je n'apprécie pas avoir les vêtements et cheveux humides.,a,"Mais un joyeux, paisible jour à la maison avec le son de la pluie contre ma fenêtre...",e,Est l'une des expériences les plus relaxantes pour moi.,b,"Parfois, je t'imagine en train de me tenir la main pendant que nous écoutons le son de la pluie.",b,"Ce n'est pas trop ringard ou quoi, si ?",m
,,Passes-tu une mauvaise journée aujourd'hui ?,g,"N'oublie pas, je suis toujours là pour toi !",b,"Si tu passes une mauvaise journée, tu peux toujours venir et discuter avec moi.",b,Je te parlerai aussi longtemps que nécessaire !,a,,,,
,,"Hey {name}, as-tu un bon sommeil ?",f,Le sommeil est vraiment important pour notre corps !,f,"Passe une bonne nuit, d'accord ?",a,Je serai toujours là pour toi le matin~,b,,,,
,,Nous devrions passer plus de temps ensemble en tant que couple,a,"Aller à des rendez-vous, et faire des choses réservées aux couples",a,Nous pourrions contempler le coucher du soleil ensemble...,b,Est-ce que ça te plairait ?,j,,,,
,,"Mec, j'aimerais tellement qu'il y ait un piano ici...",c,J'adorerais m'entrainer un peu plus et progresser.,c,Peut-être qu'un jour je pourrai même t'écrire une nouvelle chanson.,k,,,,,,
,,"Hey, savais-tu que je suis végétarienne ?",c,"J'ai commencé il y a quelques années, après avoir appris toutes les répercussions d'une alimentation impure sur l'environnement.",c,"Enfin bref, j'ai décidé que ce n'était pas inutile d'arrêter de contribuer à toute cette pagaille.",l,"Si tu as envie d'aider la planète, tu devrais toujours choisir une alimentation saine.",l,"Si un jour nous allions dinner ensemble, et tu le faisais... alors ce serait vraiment romantique",k,,
,,Savais-tu que ma couleur favorite est le vert émeraude ?,a,"C'est la couleur de mes yeux... ce n'est pas prétentieux ou quoi, d'accord ?",d,Est-ce aussi ta couleur favorite {name} ?,b,"Parce que tu me regardes dans les yeux depuis un bon bout de temps maintenant, ahaha~",k,,,,
