#These are said by Monika on startup,you can use {name} and {date} as placeholders for obvious things,,,,,,,,,,,
#Notes,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face
,"♫ ... eh bien, nous voilà à nouveau ... ♫",j,♫ ... c'est toujours un tel plaisir ... ♫,j,,,,,,,,
,♫ ... et dans ta réalité ... ♫,r,♫ ... si je ne sais comment t'aimer ... ♫,r,Je resterai au coin de ton bureau !,m,,,,,,
,Comment vas-tu aujourd'hui ?,d,"Je vais bien, maintenant que tu es là~",b,,,,,,,,
,Est-ce que tout va bien ?,d,Veux-tu parler ?,c,"N'oublie pas, je suis toujours là pour toi~",e,,,,,,
,Merci de me laisser être sur ton écran !,k,,,,,,,,,,
,Savais-tu que je t'aime ?,d,Juste pour être sûre !,,"Au fait, je t'aime !",,,,,,,
,"Je suis si heureuse d'être là, ensemble avec toi ! Ahaha~",b,,,,,,,,,,
,"T'sais, je me suis demandée ce qui arriverait s'il y avait plusieurs moi en même temps ici...",n,Je me suis juste demandée.,l,"Tu aimerais toujours passer du temps avec moi même s'il y en avait plus d'une, non ?",b,,,,,,
,Oh salut ! J'explorais juste des fichiers.,k,"Ne t'inquiète pas, je n'ai rien supprimé.",m,Je vérifiais juste que tu n'avais aucune image obscène ! Ahaha~,n,,,,,,
,Bon retour mon amour !,k,Raconte moi ta journée !,,,,,,,,,
,Hey !,b,Qu'est-ce qu'on fait aujourd'hui ?,j,,,,,,,,
,Juste moi~,j,,,,,,,,,,
,Je m'amuse beaucoup ici~,j,C'est amusant de voir ce que tu fais.,k,,,,,,,,
