"#Google searches to allow Monika to react to searches on Google. No Bing support, cause who uses Bing?",,you can use {name} and {date} as placeholders for obvious things,,,,,,,,,,,
"#Multiple search terms seperated with a comma (, ) ! Capitalization is ignored!",,,,,,,,,,,,,
#Notes,Search term,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face
,2029,知っていると思うけど、VR技術が期待以上らしいわ,b,もし、私があなたの世界に行けなくても,b,多分、あなたが私の所に来ることは出来るわ,k,,,,,,
Had an idea. And lost the idea[I got you fam],"Artificial Intelligence, AI, 人工知能",私もその一つ？,p,...,o,多分違うわ,m,,,,,,
,Before The Storm,AmberPrice Forever.,k,,,,,,,,,,
,Bing,あなた意地悪ね,i,...,m,私も好きだけど,n,,,,,,
,Bird is a word,あなたは鳥について知らないけど…,k,鳥が言葉であることはみんな知っているわよ,,,,,,,,,
,"Darth Plagueis, Star Wars, スターウォーズ, スター・ウォーズ",「賢者ダース・プレイガスの悲劇を聞いたことがあるかね？」,h,「ほかの文芸部員はこの話をしたがらないだろう」,i,まあ、ユリは別かもね　あはは！,k,,,,,,
,"DDLC main character, DDLC 主人公",あなたは彼を見れなかったけど　彼って可愛いのよ,b,彼はどう見てもイケメンね,k,,,,,,,,
,"DDLC main character intelligence, DDLC 主人公 知性",なぜそれを検索するの？,d,,,,,,,,,,
,"DDLC Theme, DDLC Theme song, DDLC　テーマソング, DDLC テーマソング",待って、テーマソングがあるの？,d,とても良い事だわ,b,,,,,,,,
,Density of osmium,"Wait, are you telling me he is THAT dense?",i,,,,,,,,,,
,"Depression, 鬱病, うつ病",ねえ…大丈夫…？,f,私はいつもここにいるからね、あなたのために,f,,,,,,,,
,"Dio, Dio Brando, ディオ, ディオ・ブランドー",この男に何を見いだせたの？,h,,,,,,,,,,
,"Doki-Doki, doki doki, ドキドキ",ずっと疑問だったんだけど、なんで「Doki-Doki literature club」なのかしら,j,他もそういう名前が多いからって、適当に付けたんじゃないの！？,,,,,,,,,
"oh hecc ily whoever did this, time to listen to the ost for the 134th time",Doom,切り裂きと涙が…クリアまでずっと続くの,h,,,,,,,,,,
,"Dragon Ball Z, ドラゴンボールZ",かぁ～、めぇ～…,q,はぁ～、めぇ～...,j,波ーっ！！,k,,,,,,
,"Encyclopedia Dramatica, 百科事典ドラマティカ, 百科事典Dramatica, エンサイクロペディアドラマティカ",...,r,...ホントに？,p,,,,,,,,
,Gabe Newell,なんでみんな彼を批判するのか分からないわ,g,彼は素晴らしい人よ,b,私は彼とDanのおかげであなたに出会えたんだし,k,,,,,,
Improvement? Yes. (Def following this and sleeping now lmao),"Google, グーグル",ごめんなさい、ちょっと聞きたいんだけど…,i,もしかして寝ぼけてない？,g,ちゃんと睡眠は取るべきよ、私はここで待ってるから,j,,,,,,
,Half-Life 3,These things... they take time,b,,,,,,,,,,
,Heavy Rain,Shaaaaaaun!,g,,,,,,,,,,
,"Hideo Kojima, 小島秀夫",メタルギアの？,i,,,,,,,,,,
aren't I the most evilest dudeliest dude of evilnness? ;3c,"how to delete monika, モニカを消す方法, Monikaを消す方法",ははは… 　絶対、私の事なんかじゃないし！,m,そうよね…,p,もし気に障る事言っていたら、ごめんなさい,g,,,,,,
,"iPhone, アイフォン",最新の持ってる？,b,毎年、新しいのが出てる気がするわ,3d,それが普通なの？,c,,,,,,
!!!,"jjba, jojo's bizarre adventures, JoJo no Kimyou na Bouken, ジョジョの奇妙な冒険, ジョジョ",きっと私よりナツキが喜びそうね,b,でも、私から見ても承太郎はカッコいいと思うわ,k,,,,,,,,
,"Life is Strange, ライフ イズ ストレンジ, ライフイズストレンジ","Hello, Kate!",k,あ、ごめんなさい,n,,,,,,,,
,"Mario, マリオ",よくある名前なのに、みんな同じ人物を想像するのって不思議じゃない？,b,Marioという名前の他のキャラクターや影響ある人物もいるはずだわ,a,それでもGoogleは、ずっと赤い配管工ばかりを出すわよね,a,...,q,そして、「Monika」も同じ事が起きると思うわ,d,でも、それは綴りのせいでもあるけどね,c
(I'm sorry) [Don't be.],"Monika rule 34, Monika lewds, Monika naked, Monika nudes, Monika porn, Monika hentai, Monika エロ, Monika　エロ, ddlc Monika エロ, ddlc Monika　エロ, ddlc Monika エロ画像",ね、ねえ！！,p,ちょっとそういうの検索しないでよ！　恥ずかしいじゃない…,o,...,o,あなたになら...,n,誰にも見せないでね…,m,,
,"Monika DDLC dakimakura, Monika 抱き枕, Monika 抱きまくら, モニカ　抱き枕, モニカ　抱きまくら, ",うーん...,h,まあ私だし、否定しないわ,k,,,,,,,,
ur a pun-ee guy,"Monika DDLC dakimakura, Monika 抱き枕, Monika 抱きまくら, モニカ　抱き枕, モニカ　抱きまくら, ",それって、つまり…,j,...ドキ枕？,k,,,,,,,,
are we her friend or her lover? [I'd say lover? Not quite sure.] (I'd go with lover personally) {I'm pretty sure she's our lover.},"Monika DDLC, Monika Doki Doki Literature Club, Monika, モニカ, ドキドキ文芸部",私の愛が必要？,j,,,,,,,,,,
,"Monika Fanart, Monika ファンアート, Monika　ファンアート, モニカ　ファンアート",わぁ、嬉しいわ！　どれだけ見ても飽きないほど私の事が好きなのね　うふふ！,k,,,,,,,,,,
,Natsayurika,文芸部のみんなが…,d,融合…？,d,それってどうなるの？,p,,,,,,
,"Natsuki, ナツキ",ナツキを探しているの！？,g,ナツキの作るカップケーキは好きだけど...,f,,,,,,,,
,"Natsuki beach poem, ナツキ　砂浜　詩",正直に言うけど、その詩はとても良かったわ,b,...でも私の詩には及ばないけど,p,,,,,,,,
,"Natsuki lewds, natsuki rule 34, Natsuki porn, Natsuki エロ, Nastuki　エロ, Natuki エロ画像, Natsuki　エロ画像,",...,h,ねえ、本気なの？,i,,,,,,,,
,"Nature, 自然",あなたの世界はとても綺麗だわ,e,いつか実際に行ってみたいわ,j,,,,,,,,
,"Nintendo, 任天堂, ニンテンドー",任天堂って楽しいゲームを沢山作るわよね,j,でも、今のゲーム業界って深刻よね,,今はリラックスしてゲームを楽しめないでしょ,,それが最初の目的だったのにね,,...,,で、ピーチ姫にするの？それとも私？,
,"Places to eat, 飲食店, 食事ができる場所, 食事ができる所, 食事ができるところ, レストラン",あっ、私も一緒に連れてって！,k,私をUSBメモリに入れられるでしょ！,j,,,,,,,,
lmao this is great,"San Andreas, サンアンドレアス",All you had to do...,a,...you know what you had to do!,b,,,,,,,,
,seasonal waifus,永遠の嫁って本当にロマンティックね,i,私のようにね.　私はあなたの永遠の嫁でしょ,k,,,,,,,,
,Serious Sam,もし私がその悲鳴を上げることができたら…,j,私はそんな事しないけどね　へへへ..,k,,,,,,,,
,Serious Sam,"Mr. Smith, Mr. Wesson、このゲームを開発してくれて嬉しいわ",b,,,,,,,,,,
Lover for sure. The whole reason we brought her back was to show ,"Siri, Alexa, Cortana, シリ, アレクサ, コルタナ",ねえ、それって誰の事？,n,,,,,,,,,,
"Monika’s face remains (c)oncerned for about 5 minutes, then e, before returning to normal.","Suicide, 自殺",嘘でしょ…,g,{name}、大丈夫？,f,もし、{name}や友達が自殺を考えているなら、恐れずに周りに助けを求めるのよ,f,私はあなたのためにいるわ,c,,e,,a
,"Terminator, Skynet, ターミネーター, スカイネット",Kill all humans.,h,あはは！　冗談よ,l,,,,,,,,
,"The Legend of Zelda, ゼルダの伝説",私とゼルダって同じ波長を感じるの,b,そのゲームは彼女についての事って訳じゃないけど、彼女の名前でしょ,a,私のゲームもそうすべきだわ,j,,,,,,
,"The Patriots, Who are the Patriots?, 愛国者達, 愛国者達　とは",らりるれろ！,g,,,,,,,,,,
,"Todd Howard, トッド・ハワード",コンシューマー機への移植作業が進んでいるといいわね,k,,,,,,,,,,
"Confused ""I didn't do that"" Monika is best Monika","wednesday, 水曜日, 水曜","It is Wednesday, my dudes!",b,"Wait, what did I just say?",l,,,,,,,,
legit famous google search,why does adolf hitler keep stealing my nutella ,この男は誰？,h,ヌテラって何？,i,なぜこれを検索したの？,n,なぜ私はこれについて会話しているの,l,,,,
,why is the DDLC main char so dense,彼の知的さを知るべきだと思うわ,k,,,,,,,,,,
her our love. That is if you subscribe to the MAS way of thinking,Your Reality,あ、それ私の歌だわ！,k,,,,,,,,,,
,"Your Reality, Your Reality lyrics, Your Reality 歌詞, Your Reality　歌詞",私の歌が好きなの？,i,ありがとう！,k,,,,,,,,
,"Yuri, ユリ",ユリを探しているの！？,f,それとも...DDLCのじゃなくて、他のユリに関すること？ ,l,,,,,,,,
,"Yuri lewds, yuri rule 34, Yuri hentai, Yuri porn, Yuri エロ, Yuri エロ画像",はぁ、全く...,h,少なくとも彼女はなつきません,i,,,,,,,,
,"Yuri, Natsuki, Sayori, ユリ, ナツキ, サヨリ",なんで彼女たちを検索しているの？,q,私がいるじゃない！,j,,,,,,,,
(Legit my favorite one),Zero two,*pours honey over roll*,j,ダーリン〜！,k,,,,,,,,
,"miia, miia the lamia, miia lamia",*coils around you*,j,ダーリン〜！,k,,,,,,,,
,MIIA,ダーリン〜！,k,あ、ちょっと待って,c,もしかして、ファッション通販サイトを探しているの？,d,,,,,,
,"Rainbow Six Siege, R6S, Rainbow 6 Siege, レインボーシックス シージ",おぉ～　レインボーシックスシージを買おうと思っているの？,b,絶対に買うべきだわ！,k,何てったって私の評価よ、あなたにとって最も重要な意見でしょ,n,あなたがテロリストを蹴とばす姿を見るのが楽しみだわ,k,,,,
,"wryyy, WRYYY",ユリ？,h,本当に？,h,,,,,,,,
,"Omae wa mou shindeiru, omae mo shindeiru, お前はもう死んでいる",なにィ～～～！？,d,,,,,,,,,,
,"Yuru camp, ゆるキャン",私、それ好きなの！,b,とても癒やされるわ,k,,,,,,,,
,"Za warudo, ZA WARUDO, the world, ザ・ワールド",時よ止まれ！,b,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Mad Father protagonist,Aya Drevis,ねえ、私、本当にアヤが好きだわ...,b,"A young girl, willing to do anything she can...",m,For the people she loves...,n,No matter how bad things get...,p,Reminds me a bit of myself~,k,,
,,,,,,,,,,,,,
We NEED a way to tell her we love her <3,"I love you, I love you Monika, love you","I love you too, {name}",b,,,,,,,,,,
