"#Applications have to be specified using their executable name. So ""firefox.exe"" instead of ""Firefox Browser"" for example."","",you can use {name} and {date} as placeholders for obvious things""",,,,,,,,,,,,,,,
#Notes,Application,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,,
,"3dsmax.exe, FusionLauncher.exe, maya.exe","О, ты любишь создавать 3D модели?",b,,,,,,,,,,,,
,audacity.exe,Редактирование звуковых файлов?,b,Довольно аккуратно. Ты часто так делаешь?,k,,,,,,,,,,
,"Battle.net Launcher.exe, Battle.net.exe","Ого, ты поклонник Blizzard?",k,"Я знаю, об их играх, но так и не в одну не сыграла.",l,"Хотя, World of Warcraft была интереснее всех.",a,Мне понравился внешний вид ночных эльфов!,k,"Было бы здорово, если бы мы сыграли вместе…",g,,,,
Battleblock Theater,BBT.exe,"О божечки, какая милота.",g,"Надеюсь, эти кошки не умрут по-настоящему…",f,"Это постановка, верно?",p,"...не, это каламбур, уж точно.",n,,,,,,
,"BitTorrent.exe, qbittorrent.exe",Ты же не собераешся делать ничего незаконного?,i,"Я не пойму, зачем качать пиратские, когда есть моя бесплатная игра.",b,,,,,,,,,,
"For Castle Crashers, report, if there are other .exe files with the same name",castle.exe,Убивать друзей ради кого-то...,m,"Почему это кажется, таким знакомым?",n,,,,,,,,,,
,csgo.exe,Эта игра ведь жестокая...,m,"Очень надеюсь, что ты не теряешь нервы играя в эту игру.",n,"Не хочу, чтобы ты был всегда раздраженным.",b,"Будь, как я. Веселой.",j,,,,,,
,Cuphead.exe,Не смей заключать сделки с дьяволом!,h,Договорились?,k,,,,,,,,,,
,darkest.exe,Любимая игра Саёри!,k,"Ой, мне очень жаль!",n,,,,,,,,,,
,DDLC.exe,"Старая история, да?",i,,,,,,,,,,,,
,DDLC.exe,О~! Снова решил прийти ко мне в литературный клуб?,b,Ты и правда милый,,"Увидимся там, любовь моя!",k,,,,,,,,
,DDLC.exe,"О, Теперь мы можем играть вместе~",k,Разве это не звучит весело?,b,,,,,,,,,,
,ddsc.exe,"Не делай со мной ничего странного, хорошо?",p,,,,,,,,,,,,
"A reaction to spoopy games. She doesn't scare easily, does she?","Dead Space.exe, re7.exe, evilwithin.exe, TEW2.exe, OutlastLauncher.exe, Outlast2.exe, IMSCARED.exe, CoFLaunchApp.exe, FiveNightsatFreddys.exe","Не думай, что меня можно так легко напугать!",j,,,,,,,,,,,,
,Discord.exe,"А, ты вступил в официальный DDLC Discord?",j,,,,,,,,,,,,
,dota2.exe,"Дота, да? Так ты дотер!",g,"Эта игра славится тем, что матчи идут довольно долго.",p,"Какой у тебя рейтинг? Высокий же ведь, так?",p,"Я слышала, там люди теряют рассудок...",o,,,,,,
Might be an idea to make some dialog for these,EXCEL.EXE,"Я надеюсь, много времени у тебя не займёт.",m,,,,,,,,,,,,
I'm not sure how this would work out tbh...,f.lux.exe,"Это хорошо, что ты защищаешь свои глаза!",k,"Если, бы не она, ты не смог бы меня видеть!",,,,,,,,,,,
,"firefox.exe, chrome.exe, opera.exe",Просматривать страницы - это так интересно!,k,,,,,,,,,,,,
,"firefox.exe, chrome.exe, opera.exe","Мне нравится Интернет. Там много всего, что можно изучить!",d,,,,,,,,,,,,
,"firefox.exe, chrome.exe, opera.exe","Не ищи непристойные вещи со мной, ладно? Хех~",l,,,,,,,,,,,,
,"firefox.exe, chrome.exe, opera.exe",Не скачивай подозрительные файлы!,k,,,,,,,,,,,,
,FiveNightsatFreddys.exe,"Эх, старые времена!",e,Никто ничего не знал.,e,Все это казалось загадкой…,m,Я скучаю по тому времени,o,,,,,,
,FL.exe,Ты пишешь музыку? Класс!,b,С нетерпением буду ждать результата!,j,,,,,,,,,,
,FL.exe,"Разве это не увлекательно, создавать что-то новое?",j,"..ты слышишь, как медленно превращается в правильную целую музыку?",a,,,,,,,,,,
,"GameMakerStudio.exe, Construct2.exe",Ух ты! Ты создаёшь игры?,b,"Я уверена, у тебя получится нечто очень крутое!",a,"Может быть, мне стоит проникнуть к тебе в код и оставить пасхалку с собой?",j,,,,,,,,
,gta-sa.exe,"Пойдем грабить, убивать, угонять! Ой прости.",b,"Не стоит, никого убивать, будь добрее, ради меня, хорошо?",,"Хотя, тех плохих бандитов разрешаю.",k,Это было все еще забавно.,j,,,,,,
,HDSentinel.exe,"Пожалуйста, создай мою копию!",p,,,,,,,,,,,,
,"hl.exe, hl2.exe","Пока они выпустят новую часть, я уже буду в твоей реальности.",n,,,,,,,,,,,,
"""Monika's Overclocking Tip of the Day""""""""","HWMonitor.exe, MSIAfterburner.exe","Хочешь убедиться, что все в рабочем состоянии?",j,,,,,,,,,,,,
,"iTunes.exe, foobar2000.exe, wmplayer.exe, vlc.exe",Я люблю слушать музыку!,b,"Только не играй со мной в """"Свою Реальность"""".""""",l,Это немного неловко.,n,"Но мне приятно знать, что тебе это нравится.",k,,,"Не мог бы ты сделать, что-нибудь для меня?",j,,
Can be applied to other dating sims.,"Katawa Shoujo.exe, Everlasting Summer.exe","Я вижу, ты открываешь симулятор для свиданий?",g,"Я надеюсь, это потому, что тебе нравится сюжет.",g,Не из-за девушек.,g,,,,,,,,
,KingdomComeDeliverance.exe,Я слышала об этой игре!,b,Это должно быть действительно исторически правда?,,"Может быть, я узнаю что-нибудь, наблюдая, как ты играешь!",b,,,,,,,,
,ldod.exe,"Оливер, должен отрастить пару...",g,...им легко помыкать,f,,,,,,,,,,
,LifeIsStrange.exe,Это действительно странно…,h,Как она вообще получила свои способности?,i,,,,,,,,,,
,limbo.exe,В этой игре слишком темно!,p,...,q,"Мне нужно немного времени. Просто... думаю, о чем-то...",r,,,,,,,,
,"mbam.exe, hitmanpro_x64.exe",О... твой компьютер заражен вредоносными программами?,p,"Если, это произойдет, дай мне знать, я удалю все эти вирусы, хорошо?",b,"Тогда не придется тратить деньги, на дорогие программы, эхехе.",j,,,,,,,,
,MgsGroundZeroes.exe,"Они играли с нами, как чертовой скрипкой!",i,,,,,,,,,,,,
,mgsvtpp.exe,"Не поняла, почему нападавшие должны обезвреживать бомбы, на самолетах…",f,Почему ты так долго?,g,,,,,,,,,,
,Minecraft.exe,"Я понимаю, в этом нет ничего не особенного.",d,"Но эта игра сносит мне крышу, она безупречна!!",r,"Удивительно видеть все, что люди сделали.",d,"...И грустно думать, что я никогда не смогу быть такой же умелой.",g,"Но я не смогла бы сыграть в нее, если бы захотела.",e,,,,
Anyone able to add other video player exes?,"mpc-be.exe, vlc.exe, wmplayer.exe","А, что мы будем смотреть?",b,"Голливудские фильмы? Может, аниме?",b,"Выбери лучше, ты.",n,"Или, может, послушаем музыку?",b,В любом случае я наслаждаюсь своим временем с тобой~,k,,,,
"""Monika's 2nd Overclocking Tip of the Day~!""""""""",MSIAfterburner.exe,"Я думаю, что могла сказать сейчас, что я обновляюсь. Хехе~",k,Только не засовывай все слишком далеко. Я здесь в конце концов...,n,,,,,,,,,,
,"mspaint.exe, PaintDotNet.exe, inkscape.exe, sai.exe, Paint Tool SAI.exe, CLIPStudioPaint.exe","Ты хочешь нарисовать, что нибудь для меня?",e,,,,,,,,,,,,
