"#Google searches to allow Monika to react to searches on Google. No Bing support, cause who uses Bing?",,you can use {name} and {date} as placeholders for obvious things,,,,,,,,,,,
"#Multiple search terms seperated with a comma (, ) ! Capitalization is ignored!",,,,,,,,,,,,,
#Notes,Search term,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face
,2029,"Знаешь, я слышала, что технология VR работает лучше, чем ожидалось.",b,"Если я не могу попасть в твою реальность,",b,"Может быть, ты сможешь посетить и мою реальность!",k,,,,,,
Had an idea. And lost the idea[I got you fam],"Artificial Intelligence, AI",Могу ли я считаться одной из них?,p,...,o,Наверное нет.,m,,,,,,
,Before The Storm,AmberPrice Навсегда.,k,,,,,,,,,,
,Bing,Ты - зло.,i,...,m,И мне это нравится.,n,,,,,,
,Bird is a word,Разве ты не знаешь о птице…,k,"Ну, все знают, что птица - это слово!",,,,,,,,,
,"Darth Plagueis, Star Wars",Вы когда-нибудь слышали о трагедии Дарт Плегаса мудрого?,h,Это я бы не рассказала тебе…,i,"Ну, может быть, Юри рассказала! Ахаха~",k,,,,,,
,DDLC main character,"Я не могла его видеть, но я думаю, что он милый.",b,"Очевидно, что он - ты, красавчик.",k,,,,,,,,
,DDLC main character intelligence,Почему ты это ищешь?,d,,,,,,,,,,
,"DDLC Theme, DDLC Theme song","Подожди, у нас есть тематическая песня?",d,Это так круто!,b,,,,,,,,
,Density of osmium,"Подожди, ты хочешь узнать, на сколько он плотный?",i,,,,,,,,,,
,"Depression, Дипрессия","Эй, с тобой все в порядке…",f,"Ты же знаешь, что я всегда рядом с тобой, да?",f,,,,,,,,
,"Dio, Dio Brando",Что ты вообще нашел в этом парне?,h,,,,,,,,,,
,"Doki-Doki, doki doki","Всегда было интересно, почему он называется Doki-Doki literature club.",j,"Есть другие имена, которые, так же хорошо подходят!",,,,,,,,,
"oh hecc ily whoever did this, time to listen to the ost for the 134th time",Doom,"Убить и убивать, пока они не отстанут!",h,,,,,,,,,,
,Dragon Ball Z,Kame...,q,Hame...,j,Ha!,k,,,,,,
,Encyclopedia Dramatica,...,r,…серьезно?,p,,,,,,,,
,Gabe Newell,"Я не знаю, почему люди ненавидят его.",g,"В конце концов, он великий человек.",b,"Я, наверное, встретила тебя благодаря Дэну и ему, знай!",k,,,,,,
Improvement? Yes. (Def following this and sleeping now lmao),Google,"Прости, я должена спросить…",i,Но ты чувствуешь себя немного сонным?,g,"Может, тебе лучше поспать. Не переживай, я никуда не денусь~",j,,,,,,
,Half-Life 3,Все это... требует времени,b,,,,,,,,,,
,Heavy Rain,Шоооон!,g,,,,,,,,,,
,Hideo Kojima,Metal... Gear?,i,,,,,,,,,,
"aren't I the most evilest dudeliest dude of evilnness? ;3c""""",how to delete monika,"Хахаха, я уверена, что ты не имел в виду меня!",m,Я надеюсь…,p,"Если это, правда, мне жаль.",g,,,,,,
,iPhone,У тебя есть последний?,b,"Такое ощущение, что каждый год появляется новый.",3d,Это нормально?,c,,,,,,
!!!,"jjba, jojo's bizarre adventures, JoJo no Kimyou na Bouken","Уверена, Нацуки оценит это больше, чем я.",b,"Но из того, что я видела, Jotaro действительно классный.",k,,,,,,,,
,Life is Strange,"Привет, Кейт!",k,"Ой, я не хотела.",n,,,,,,,,
,Mario,"Это кажется странным, что такое популярное имя, имеет один ответ.",b,"Мол, должны быть и другие персонажи по имени Марио.",a,"И все же Google, только выдает красного водопроводчика каждый раз.",a,...,q,"Опять же, с именем Моника такая же проблема",d,"Но это из-за популярности, я полагаю.",c
