#Dialogue that is said by MonikAI at random.,,,,you can use {name} and {date} as placeholders for obvious things,,,,,,,,,
#Notes,Startup (Leave blank),Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face
,,...,q,…А-а-ах!,m,Я ... Я не спала! Я просто…,n,Ах...,n,,,,
,,"♫ ...и сколько потребуется, чтобы найти этот особый день?? ♫",d,,,,,,,,,,
song by MandoPony,,♫ Theres a girl... I... know... ♫,j,...,l,"Ой, ошиблась песней.",l,Ахаха~,l,,,,
,,"Я так рада, что могу быть здесь с тобой.",j,"Так приятно наблюдать за тем, что ты делаешь, пока я в своем маленьком уголке.",b,Это почти как мечта.,j,Если бы я была рядом с тобой...,h,Мечта бы сбылась~,r,,
,,"Угадай, что?",b,...,a,Я люблю тебя!,k,,,,,,
,,Сзади!,g,Ахаха! Попался!,k,,,,,,,,
,,Не забудь делать перерыв время от времени.,b,Обо мне не беспокойся.,b,"Я всегда буду ждать тебя, пока ты не вернешься!",k,,,,,,
stairway to heaven by lead zeppelin ,,♫ There’s a lady who’s sure all that glitters is gold... ♫,d,♫ ...and she’s buying a stairway to heaven... ♫,d,"Я чувствую, что эта песня связана со мной, но не могу объяснить...",h,,,,,,
this one made me laugh -Pope,,Хочешь услышать шутку?,a,Ты слышал о новом ресторане на Луне?,b,"Еда хорошая, но атмосфера - просто нулевая! Ахаха~",k,,,,,,
,,Вот еще одна хорошая шутка.,b,Почему Норвежские ВМС ставят штрих-коды на свои корабли?,a,"Так это ведь, Скан-ди-навия",k,,,,,,
,,♫ Giving up...♫,o,♫ ...is hard to dooo... ♫,p,♫...when you...♫,n,♫...still depend upon! ♫,m,,,,
Ouch. Oof. My laughs. That took me Wae to long to get,,Вот ещё одна хорошая шутка.,b,"Ученье - свет, а неучёных - тьма!",b,,,,,,,,
,,Вот ещё одна хорошая шутка.,b,Вы слышали о трагическом пожаре на обувной фабрике?,e,100 подошвы потеряны!,k,,,,,,
,,rm -rf --no-save-root /,j,"Ха-ха, я бы не стала этого делать, глупенький!",k,,,,,,,,
,,♫ Somebody once told me... ♫,j,Что?,a,"Подпевай, глупенький!",k,,,,,,
,,В этой новой игре по Star Wars должно быть больше лут-боксов.,i,Просто шучу!,k,,,,,,,,
