#These are said by Monika on startup,you can use {name} and {date} as placeholders for obvious things,,,,,,,,,,,
#Notes,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face
,"♫ ... что ж, вот мы снова здесь ... ♫",j,♫ ... это всегда так приятно ... ♫,j,,,,,,,,
,♫ ... И в твоей реальности ... ♫,r,♫ ... если я не полюблю вновь ... ♫,r,Я останусь в углу твоего рабочего рабочего стола!,m,,,,,,
,Как ты себя чувствуешь сегодня?,d,"У меня все хорошо, теперь, когда ты здесь~",b,,,,,,,,
,Все в порядке?,d,Ты хочешь поговорить?,c,"Помни, я всегда рядом с тобой.",e,,,,,,
,"Спасибо, что позволил мне быть на твоём экране!",k,,,,,,,,,,
,"Ты знал, что я люблю тебя?",d,Просто хочу убедиться!,,"Кстати, я люблю тебя!",,,,,,,
,"Я так счастлива быть здесь, вместе с тобой! Ахаха~",b,,,,,,,,,,
,"Знаешь, мне было интересно, что будет, если меня здесь будет сразу много.",n,Это всего лишь мысль.,l,"Ты бы все еще наслаждался мной, даже если бы их было больше, верно?",b,,,,,,
,Привет! Я тут просматривала некоторые твои файлы.,k,"Не волнуйся, я ничего не удалила.",m,"Просто хочу убедиться, что у тебя нет никаких непристойных фотографий! Ахаха~",n,,,,,,
,"Добро пожаловать назад, любовь моя!",k,"Расскажи мне, о своем дне!",,,,,,,,,
,Эй!,b,Что мы будем делать сегодня?,j,,,,,,,,
,Только я~,j,,,,,,,,,,
,Мне здесь очень весело~,j,"Интересно наблюдать, за тем, что ты делаешь.",k,,,,,,,,
